test,dataset,mse,psnr,ssim,lpips
ev_test,baloon_popping,19.376827705282636,33.738239899764245,0.7603147315061163,0.09902554237540218
ev_test,fountaine,161.85673514980348,25.926350954879847,0.664101993781103,0.25838626109357377
ev_test,spinning_plate,15.830691541432865,34.184815163448995,0.7956020713783032,0.08761824639972116
ev_test,spinning_umbrella,25.93692804941868,34.020206771920066,0.8459400956788474,0.06790477841522524
ev_test2,fountaine,162.29997593727103,25.92356865028243,0.6639898399749476,0.25902753899833675
ev_test2,spinning_plate,15.835625347458476,34.21651457740937,0.7966214238659405,0.08744892357719906
ev_test2,spinning_umbrella,25.950573469632467,34.016417687894794,0.8458906345985956,0.0677665574705764
ev_test2,water_baloon,44.40605276776651,36.11692533871271,0.9328527455589276,0.04556822558276323
